1;Гарфилд; 6.3;https://kinopoisk-ru.clstorage.net/Gf292R435/b315ee0kfIy/RucHLrhg5RPZdlzQ-9WN3zcGl1b0-Yif_erjZV2r89d8FuRvXUvlC5uF1ICDOWm861fiGxQZ1NG0JDWoMlYz5JO2hj5v8-aSCPaPUPjC2Q2kEBbFsniaDjq8JzPLO__a8Jx_otXHLoMCGgVTEv7_q7yH8phXCddWMeHpJndOu7ZPa4JpeTmn1N6nV5szX47XZQCXl-l4wJltJWXvXSWxmf7cdqnVSqdHwZjFnVkpceI0ArNQV0cVRHSg6OKnzvK1DSSLJDC2rJMfYBpdeBzAU-RPXVssMg9WqCElJlei-lz6GTOh1s6viUqfxt0aYzXjc4c6F5nFkUQ7bG8g5oc4-4dpxa5xeiWbnmWZE7zXzZqhjZIbZfREGO_qqCpaY3EW9pE9LNdK5cfCmwnemWU5ITYGvNMVxBhPfmjlpaUHOL-Dpspg8fmin5Tm11t6n4id7kEd3qT7x19sZOIllOS9FXhe96dTQunPzZTCE5zgPGO7jXNQ2ISWhTWtKqTvBDY-TWCDYvB9Ix8RpFvYehHNUCgPVNfuOgIUaqMiLVjk-dt1knaomEsphwVaClZXqXhs94o-UdxJFME06eptZwE__0Csgua4N-JTVuOb0XNejljuzxpRLDYHW-xhaWNfZ3sTNl95phrGrY7A2soUGqs4ZTtBfdbcyRTDsSog4-RI-bMMr0Og-vBrVhEokhy7Xg9V5YzUlaq1z1xgLiXulGO5WTrQ9OkVi-AEjJIIFhqneaS7Cjdd3kMWh3jppqtmzDgyBe5FqH127JsdL1pZfd9NnK8E2JGiswLTJ6Zs5ZpmMVc4VL_jUsGgSYDQyZtSpT_kt886ldDB1sD8pqXtKoQ7_08mg-i4_--b2ymUFXVeCVhuyFaeI7HCnyclI2PXI3vUepD2Z9OKrYcJlE4dHSc9r_eA_5EXh13POWIsLWMKurPF7A6n9D8g2lEgkJD21kBS7QCXHqGwzBojo-znnOS83jxStawSQybDypuO195nseiyDbxf3wxczvdhZaktzDd_DGHB77z95J7c51uWOdGMXOEDHZls84JareNi7hUmup98FfflWk_kgksbQhpc6XztvA1-HlcNk4a272tn7M86PMWvDyEwe-aWUSxQnjuRR18lxdWfIroC2qIjJGLV4nPQst6z4RpF7g9NVwNVXac3JbbF-h_cy1zI9qxsZyZG831GKE5g-XUvGpmlE124mM6d4sHfl-T-T96k6O2mG-Rx1H0QPWbbg2nGxFkAUhKj_Ov1h39SVglRRfyo4qWqxrE-yuFM4DHyp5uT7JoROB0IHSKIkpEtM8KbLSxsrRYiPFOz3f1smkluQMqbxVhV5b5pOo_-2B_BmY70JW8nos80-4RmyuZwM-RY0WUT0jPfjZomAd2WYvxNWadsLW8SK30UdVd96NOIJsoMEgEWneA4JbNH_5Bdzd1Ee-ak7CQJubaNIEru9PbqkFMv2VD4lYna5AwSmW41DRbsLamnFO96FL6Zfu2dzuxDSBSOF1qsMGAyxvIfkAYeT7nmr-lli3-0hi4G6_a46leXI5NY8RqKE6lHEhli8IVbKORq5FqnMlj50jamHQEtzssby5yZpT3i9UC_UdQPV85-ZaBtpQPzNwPghuY-tqXRFqTfFf0fh1Iqz5ISY3mHXmdmJGpVYzLYeJl_aRKI6chJ0sUaXuR9JbtCvhZWjxmLNa8loiqB_3sLpkWmsPom0VbjkJ4wlABdYQ8dkOIxAJhv62KvE--03bnQM-5TRSFIw9RDlhNk_SwzyrrRVElfATTlZqvjRngxxG6ObL9779fcZVtUONeKmGXPHdDqNQxeLmBg4FInuxe1UPMgkANnBkrdy1KcbvMnc0g3kVRE3sj-ZiBn6gE4vYouAmK4v-7RGyxcnHUZQJ9lh5tS5nYM1qvmL2PcavWQfdG2YxbD6YdMV4BV26EzZLaOtV0QgxcJ-ObvZSELPDuC7E6uMXMrVtMsFhqykgeToEfX0y_4DFtr4iSv3iZw2Hrcv24SBe7JwdkKHZXt-ew6jLQb1g3dCbdl5qusA_82z6hLoPc-LBYUZpMV-xmN1GcDWBBptYlU6uxl6JKrPRX1VXKsUEhoQ4DbilrWo_So_YCyVd7IX8h05yPgJIH0esTrRiL1P2ufliPQHH0VxRdnj9bV7D4HVK0uam_d4_scfVn-Kx6HKoSIlMOeHel3r3WBcpmeARwA9qBk62oGObdAoMHqefYjUBztUNb11sacqEaYGyMxSRfqIOCv3O85GfSXvmcXTiDOwtqMXJ5nc2I_gP5SH0gQQPgv5K8qCzM9CqONb7R4ZxIZaZFYeNLI0qgH3R9le4eWpePvLFYmsx66HT-pVsvliwATjpySIPtstoEzkNRIlMHzJ2pqZEkxfYjoRus1P-pSXGvaXHnYT9RlSxtf53uBlOXjqWXUY_qQ8xq-ZV3KpstKkUmcEiQ4qnpP99IcCxzFfSnrYKTPOH8F5EUgMD3k2V0kU96z0gkXIAWUEWq7TBbmYORqFCs6kHEXNGzbzSfHDBIE1F5pNKM6AL0eUQBUiL6o52WmQXF2QucGK_h4K9kX5JsWPZ-BGK5LXt9sMUOYrOFoZxXr-xf12D0n30fvQwwVg9NS4X5jMk51W9gHUYv_Ly3nqc-590Pihit_Me6Uka1XnLRdhxUmR1OdrTUNFijt5GdXbDRRe5297xdBbgpNV4gbmaH4KvKPPxcZRBMMuG1l4CNDPz6CKopsfb6jF1dnX1b8kgxY7YyaH2P4w9OtI-tsmumxmDbffusQiqEKS5hEHFuv-eE9RvYXmQEeSD0n6yCtDzv5iqsEKDL2bdHfYRYeNRWC3GaA3R5l8AETKiNo7Bvk9NE-1jNmVcAigI5UQR8ZoXZttsl8kFYGkUU1oaOrJAv-Ns4izKe9ti8SXWiZVvWZh9Qnxl9QLPDJkWrh6WyTpbIestG5YJbArQpFlESWFSC2p7PGu1GdyBuMu0;https://www.kinopoisk.ru/film/1044220/
2;Триггер; 8.5;https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/5fb7d956-d5fb-4189-9ec9-1a051aaa7f41/300x450;https://www.kinopoisk.ru/series/1100777/
3;Пчеловод; 7.2;https://avatars.mds.yandex.net/get-kinopoisk-image/4483445/197ef075-aa45-4881-80c5-a182e8847f65/300x450;https://www.kinopoisk.ru/film/4626783/
4;Ворон; 6.3;https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/bd29da5d-9d77-4f32-b89f-9febd710213e/300x450;https://www.kinopoisk.ru/film/441406/
5;Темный рыцарь; 8.5;https://kinopoisk-ru.clstorage.net/Gf292R435/b315ee0kfIy/RucHLrhg5RPZdlzQ-9WN3zcGl1b0-Yif_erjZV2r89d8FuRvXUvlC5uF1cCBeWn_7NA3G8ANlBDhd-f85wMhItO3hvl85jAEjuVOBTlAmU0kUxaFsWudDvquNDOKYD_dcJy45tKB7QCD1EVTBK-_KnzANVnRj8YBMCtpOavL8_4PJwQvtnLgUd8o0RuzVsLYoQSSHaexCllj7OillC580zCVs-ZfCCnDARSLGNMh9qL5gf1Zn03URHEqrekrgvC8QC5JZjl5p5AYZRdQ8BhGWe7OXtjtfsWcZ6whrxNludf10Lvl2wDnSAYXy1uZZfflfAi6lx3J1Au9rW-oYki-Ng1gwyf18K8RHeZZlDsVjxwsAR6RKzWL26whLaLS7vPbfd425F9KqcAC2MjYn2k1oP2OfhscQN9OuSfq6-JI-jLCbw2ndnerG56oEVJzUIhT4I7bUCS2zFgiayJsVSLwVbIUvWBXRqHPDRMF3Rpsdy12Qf3WXM4VBXzo66HhRnv8BCYPpvL2K57cJJJS_RVFla7H0hrlc4de5asqoFVmPlh-lbKrXobpB8PbQBZTKHhhcQz80pFMUQQ4KCIp5E-68cgni-64N2fZm-SbW7JWTVNuiVTY6XbI2CfgZKfW5PYbs5q8KdMC4MJDGwJbUWhxrbpPe9IRTFOB--Ksqq2J9r3L5s2sf75inlDtVpOy10BYLUeQXmq-z1RorOls0ia8FzwX8yaeT2qOC9kAW10psC3xBfDQm04XSDhk5CgpSHe0iuDFK_k5r5JXJRNVM5WJEqVLlFZsc0AT4OXiYteushW4XPlh1A8ngkkYjRNfb_AhNAg43hmOUMx3Z6JkYUu6_kImhe5wOq9UUetfXbLRTdNpxZvXbrMME2OqZC-S5DFXfBV94J8C6QsNnwtc3W27YXvNPBlfBV8Js-5iLe_K9nSIq8qisPXu3ljv2t46mEdQoQQbVW-9iRflZeBkVSM7Eb5WtiFWia3IAl_Bn53h_CT2jvLR1ARex7Cn5mMpRzq9BWSC6nIxqlOfJNwRPVRJXKKOnJgs88mZpevp7ZclelH5FP9pWkvsSYKTDB0TLPkq9kyzWdXLFoY-qSiiKkp5dMuqTGb0M6LeVC_UE32fSphkRprWZXNJlmWtZS1T7DWfMlD7KVBBYU_O0kMcXWcxID7IstITBFjGfa4oaKODOPdM6w2v-vouFt1sF5B0FohfYEySECE-TZCuZKHjVe4xUPzefOiWxqjGwNFEU1ms_2N8Tf9Y0QnVzHkg6uQjwXt7hemNZ31yrxyU5VsQ8dAInykBlNnsswgZauWq7pOjtp4xHnapXMEuyAIUThQf7n2sdMx1ERnBHsT0rWjsKkS-NQJviya8MWxeHWyYGzNVj5ugTpOWIzzKkyqkaOqa4vFYu57y4J2JpA6L0ADcGmgxJbzNPVMVhdRLN2ajauzJ8zxE74OieT-k3FemGtB5Uc9ZrYGcmup8hdhrIKDsXuXxk3Wd967bQy1KjV8BG1ZgdKQ9wLKe3kbfiTdtpituD_E3SqOGoDc_Yxhb7BLZ9lIGFOaBHJYv9MgcouPjohatvdQ-1bwuFIKgyYIaithfbfZju4382tcPXk60YiLr5oNysoQji2g5cOWZ3KBf1fNfR5duAReXpvbNUyCtba3SrT1VdZxzIZ1GpktLFAwfHi0xLbmMu1hXQRsFfuftZGSPPrrC4MvmdfPl2Zvv1Bh42Ejcro6VFu5xC1ut66jrXis4lDzQ9GBQjibBTZKAUp6tOKUxiHxakQeRBDSk5K2jCHR1CisB6fQ641MdJB4QO1KN2G6O1R7qfc0aJunnqpYk8pi8EDqjFshoSEQaRN2UozPlswU8WpyGWM634iik5Ej4O0qnD-4wO-WUVCPWXfWYitgmCFcSqX1Fn6CmZCTbanVQPVV5JdZG6U7OUUOaW2NwIHWH8B5bT5nINy0qb-5MfjOI68Nn_P5iXFRpUJp-34Yd5kTW2yd9yF-kragml-89VzBcdCEQQafDQNsL1Bep-Kx3hrbY1YWZh7Qk5OLmj3N-zO7NobH5Ipse7F_T9VXB2qLLFZ1q-Mfequzvahqi8Ni5kbZjXcctgkJbTJdZpLxre4D40BAHWEQ24a9qZIQ_dY_jT6OwvqsZW69WVfkdAtouRdAY4XbHmWjjaCVSZPlQtR0xLZKF6ooNEohcEye743pANJDZRJDGcaakJONJ8vHEZIcvefZkk5UvnN06HokV5wse1-44hN5maagkXqb82XtdfSRbj6DAQ11K350jdql7zP8RkEjQyP4m4GTuQ3i7xygC4veyJpYR7hJQPhDHFaZOGpGk9gWRpWYrrpcs-5fx3LNl3krlAopfitPaq3ggegE92pDMUcP2qCUqrEE4OYzjhmOwP2bTE6UWUTSXwdjqiFoTpPAH0aUgYizSZXXe9l1_bt8JpUgImIpT3mi-7LTFfxLTRFVN-Ckv6ipIOrSA4E1msjHt0lwslJs-0QKdpAcUnmQ9hdImbW3smqV1XPvXdujYiKkOi9XCH5Nkt6z7j7Nf2AwYjnklKuikATPzg6NGrvf-7Zic5FwVc1kNE-rN2pjuMguYp-Fg7Vpk8tg03j3sUkAtDoxSxRMbLnektUf21t8JG8_-76jnKsmy8oYjRim-O6Ae1SjWnLFfAJvmwJhZ6nyFHKttYK_dq7RWcV71JFTBZE_OWQ3YW6g-ZHQNuhecS5yIvKevbaZPezNOLwErMXYj2B8gHNR-1E1QLQkalyeyQJllYmtiWC59GzOd8SOfDmRJAZUKGlWp9au9xLqX2UbYDfYpb-PqS7w7z6FFZHm45VAZaVQd-VrJ2yFOG5EvcIAeZeHr41VrNBM60Hxm1Y3ujM2QCVhbJnkgMk49WN7J1QVwYeRq7o5zf0Zpyus5-ibSEOYc3XVfwZpnzFXYL7gCXqdga2sULfufPVp6pdUCZEcNlYBU2uazJT2J_JMQQxyLtE;https://www.kinopoisk.ru/film/111543/
6;Железный человек; 8.0;https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/c8e2f069-15f1-4803-95c0-aba858fec360/300x450;https://www.kinopoisk.ru/film/61237/
7;Живая сталь; 7.7;https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/a2da53fd-24c9-4715-8f98-5382b387fd4d/300x450;https://www.kinopoisk.ru/film/88198/
8;Атака титанов (сериал 2013 – 2023); 8.7;https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/e42e60bc-0772-4a3a-a24f-4218febf9386/300x450;https://www.kinopoisk.ru/series/749374/
9;Джон Уик 4 (2023); 7.6;https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/62c1301b-c913-4b3c-af87-74934ae1ec93/300x450;https://www.kinopoisk.ru/film/1267348/
10;Рик и Морти; 9.1;https://avatars.mds.yandex.net/get-kinopoisk-image/10835644/9a7203bd-7f9d-4f45-bc39-cdf7d4156332/300x450;https://www.kinopoisk.ru/series/685246/
